field,hash,crop_path,example_sample_dir,example_png,count
detection_threshold,ea5515baa8e1895990ceb7b8ca3a767c,outputs\debug\crop_detection_threshold_137.png,data\B14,data\B14\2b85f569-a371-438c-b33f-9d41cb9fbfcd.png,1
minimum_area,2cdbbe624a459eb48a2d741f21fc8bea,outputs\debug\crop_minimum_area_138.png,data\B14,data\B14\2b85f569-a371-438c-b33f-9d41cb9fbfcd.png,1
minimum_height,117e4bdae87a26aaced3b7d97327962a,outputs\debug\crop_minimum_height_139.png,data\B14,data\B14\2b85f569-a371-438c-b33f-9d41cb9fbfcd.png,1
start_min,b9e65023a1017834c2e8d6e8622321aa,outputs\debug\crop_start_min_140.png,data\B15,data\B15\6714efe2-0896-4efa-8d06-bd3cb70fc37c.png,1
end_min,0aedff3d6515e58370b8d25bfc74d2c7,outputs\debug\crop_end_min_141.png,data\B15,data\B15\6714efe2-0896-4efa-8d06-bd3cb70fc37c.png,1
peak_width_sec,11e3cbf24fb84529c8cfbf13ad670914,outputs\debug\crop_peak_width_sec_142.png,data\B15,data\B15\6714efe2-0896-4efa-8d06-bd3cb70fc37c.png,1
detection_threshold,8310ec6a9b6ef81bcd9917d7868a67b7,outputs\debug\crop_detection_threshold_143.png,data\B15,data\B15\6714efe2-0896-4efa-8d06-bd3cb70fc37c.png,1
minimum_area,dd06f742556343de1a4ec8a50d0afb22,outputs\debug\crop_minimum_area_144.png,data\B15,data\B15\6714efe2-0896-4efa-8d06-bd3cb70fc37c.png,1
minimum_height,5c98dc3abb2d7c7bf7effd9e846e14bd,outputs\debug\crop_minimum_height_145.png,data\B15,data\B15\6714efe2-0896-4efa-8d06-bd3cb70fc37c.png,1
start_min,7b22a070c3a4becc81466db82049b3d4,outputs\debug\crop_start_min_146.png,data\B2,data\B2\2dd0231a-70a3-494a-9371-7fded0bacf04.png,2
end_min,4a103298c87b2b49ea78f3f92f75c85a,outputs\debug\crop_end_min_147.png,data\B2,data\B2\2dd0231a-70a3-494a-9371-7fded0bacf04.png,3
peak_width_sec,b628b11fc4c6cdbf34bbe35d7e8a4079,outputs\debug\crop_peak_width_sec_148.png,data\B2,data\B2\2dd0231a-70a3-494a-9371-7fded0bacf04.png,2
detection_threshold,45ca6c0ef84dd41fa0086ca3d43afb03,outputs\debug\crop_detection_threshold_149.png,data\B2,data\B2\2dd0231a-70a3-494a-9371-7fded0bacf04.png,2
